SPECIES,LATITUDE,LONGITUDE,longlat.uncertainty,Year,Month
Atriplex lindleyi subsp. conduplicata,-28.4828,136.4825,150,1996,2
Atriplex semibaccata,-32.48,137.75,1000,1997,2
Atriplex suberecta,-32.48,137.75,1000,1997,2
Atriplex eardleyae,-32.48,137.75,1000,1997,2
Atriplex suberecta,-32.48,137.75,1000,1997,2
Atriplex suberecta,-32.48,137.75,1000,1997,2
Atriplex elachophylla,-26.076111,132.221667,15,1995,2
Atriplex nummularia,-35.2,139.4,1000,1992,2
Atriplex vesicaria,-32.466667,137.733333,10000,1993,2
Atriplex limbata,-32.465387,137.734414,1000,1993,2
Atriplex angulata,-33.583333,139.083333,10000,1993,2
Atriplex acutiloba,-33.75,139.166667,10000,1993,2
Atriplex suberecta,-34.848333,138.498611,10000,1905,2
Atriplex vesicaria,-33.75,139.166667,10000,1993,2
Atriplex acutibractea subsp. acutibractea,-35.165672,138.470271,30000,1992,2
Atriplex nummularia,-35.166667,138.55,10000,1992,2
Atriplex paludosa subsp. cordata,-35.166667,138.55,10000,1992,2
Atriplex cinerea,-35.16095,138.549436,10000,1992,2
Atriplex cinerea,-35.166667,138.55,10000,1992,2
Atriplex paludosa subsp. cordata,-35.066667,138.733333,10000,1992,2
Atriplex prostrata,-35.066667,138.75,10000,1992,2
Atriplex acutibractea subsp. acutibractea,-33.793437,139.175525,1000,1993,2
Atriplex pumilio,-33.75,139.166667,1000,1993,2
Atriplex prostrata,-34.633333,135.683333,1000,1986,2
Atriplex lindleyi subsp. quadripartita,-30.933333,137.5,1000,1995,2
Atriplex stipitata,-33.9712,138.9933,30000,1999,2
Atriplex paludosa subsp. paludosa,-34.832059,138.517766,1000,1986,2
Atriplex semibaccata,-34.75,138.666667,1000,1986,2
Atriplex semibaccata,-34.75,138.716667,10000,1986,2
Atriplex paludosa subsp. cordata,-32.5,133.3,1000,1974,2
Atriplex cinerea,-38.034005,140.69445,10000,1964,2
Atriplex vesicaria subsp. calcicola,-29.524,137.284,1000,1999,3
Atriplex prostrata,-35.411784,138.74416,150,2000,3
Atriplex semibaccata,-35.056944,138.507778,150,1994,3
Atriplex paludosa subsp. cordata,-34.8,138.5,10000,1949,3
Atriplex prostrata,-34.911111,138.596389,10000,1948,3
Atriplex prostrata,-34.944722,138.542778,10000,1945,3
Atriplex paludosa subsp. paludosa,-35.567338,138.917771,10000,1925,3
Atriplex australasica,-34.827059,138.493878,10000,1949,3
Atriplex australasica,-35.578452,138.596386,10000,1936,3
Atriplex cinerea,-34.603447,138.525541,10000,1972,3
Atriplex cinerea,-34.774837,138.496377,10000,1972,3
Atriplex paludosa subsp. cordata,-34.6,138.5,10000,1972,3
Atriplex prostrata,-35.566667,139.25,10000,1957,3
Atriplex paludosa subsp. paludosa,-35.889,139.5786,10000,1976,3
Atriplex leptocarpa,-34.316667,140.383333,125000,1910,3
Atriplex pumilio,-34.316667,139.633333,30000,1910,3
Atriplex vesicaria,-34.316667,140.383333,30000,1910,3
Atriplex semibaccata,-34.833333,138.5,1000,1908,3
Atriplex semibaccata,-35.116667,139.266667,10000,1963,3
Atriplex paludosa subsp. cordata,-34.665393,138.434431,10000,1963,3
Atriplex stipitata,-33.5,140.7,10000,1978,3
Atriplex stipitata,-33.5,140.7,10000,1978,3
Atriplex stipitata,-32.066667,139.383333,10000,1956,3
Atriplex angulata,-32.800654,139.244126,10000,1937,3
Atriplex angulata,-31.649814,139.551888,30000,1937,3
Atriplex semibaccata,-34.183333,138.15,10000,1923,3
Atriplex vesicaria,-32.483333,137.75,10000,1941,3
Atriplex vesicaria,-32.866667,137,10000,1955,3
Atriplex acutibractea subsp. karoniensis,-33,137,30000,1955,3
Atriplex vesicaria,-32.866667,137,10000,1955,3
